snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
116,0.2796875,0.6833333333333333,0.7171875,0.42291666666666666,0.3546875,0.4666666666666667,0.45176476,-0.0572115,-0.43277228
117,0.253125,0.6354166666666666,0.7421875,0.4833333333333333,0.39375,0.4625,0.3750034,0.075320646,-0.43286055
118,0.265625,0.59375,0.75,0.5333333333333333,0.446875,0.4354166666666667,0.28353482,0.16178465,-0.43930537
119,0.2796875,0.5395833333333333,0.7421875,0.5895833333333333,0.50625,0.4166666666666667,0.1612699,0.257236,-0.43746886
120,0.284375,0.4583333333333333,0.721875,0.6375,0.55625,0.40208333333333335,0.018934855,0.36623532,-0.40661556
121,0.3234375,0.40625,0.68125,0.69375,0.6109375,0.4041666666666667,-0.13904777,0.4298305,-0.405953
122,0.3875,0.3645833333333333,0.6203125,0.7583333333333333,0.6703125,0.4083333333333333,-0.32452223,0.46965057,-0.41975546
123,0.4265625,0.3375,0.5390625,0.8354166666666667,0.7203125,0.4208333333333333,-0.51397705,0.51461536,-0.43664348
124,0.4734375,0.31875,0.45625,0.8041666666666667,0.775,0.4645833333333334,-0.5833402,0.43151295,-0.40098107
125,0.521875,0.29375,0.346875,0.7958333333333333,0.8140625,0.4770833333333334,-0.7035512,0.3651734,-0.36695403
126,0.596875,0.30416666666666664,0.259375,0.7729166666666667,0.8640625,0.5,-0.7728305,0.24820644,-0.36300877
127,0.6640625,0.28958333333333336,0.1609375,0.7229166666666667,0.8859375,0.5708333333333333,-0.84035385,0.121889904,-0.3223974
128,0.7234375,0.26875,0.103125,0.6604166666666667,0.915625,0.5854166666666667,-0.86394525,0.01236571,-0.2781121
129,0.7546875,0.2645833333333333,0.0828125,0.6083333333333333,0.91875,0.5895833333333333,-0.8415712,-0.06678586,-0.2511497
130,0.7609375,0.2604166666666667,0.103125,0.55625,0.884375,0.5770833333333333,-0.77575696,-0.11266711,-0.22636063
131,0.753125,0.2645833333333333,0.1609375,0.5083333333333333,0.8328125,0.55,-0.67139065,-0.1354854,-0.21449234
132,0.73125,0.275,0.2359375,0.4708333333333333,0.746875,0.5104166666666666,-0.5526071,-0.13659531,-0.21221764
