1574880626.6091366,None,"(693, 722)","(1824, 283)","(0, 0, 0)"
1574880628.7982924,"(1197, 229)","(729, 393)","(1825, 284)","(89, 19, 84)"
1574880630.9999642,None,"(724, 381)","(1579, 277)","(68, 9, 1)"
1574880633.1958025,None,"(701, 712)","(1580, 277)","(111, 20, 16)"
1574880635.1995254,None,"(725, 403)","(1579, 277)","(14, 65, 114)"
1574880637.2000432,None,"(730, 386)","(1824, 285)","(87, 53, 40)"
1574880639.3998334,None,"(743, 399)","(1580, 278)","(86, 151, 88)"
1574880641.6008506,"(1203, 236)","(750, 409)","(1580, 277)","(116, 174, 155)"
1574880643.7990918,None,"(718, 723)","(1825, 283)","(72, 188, 236)"
1574880645.994981,None,"(723, 722)","(1825, 282)","(120, 221, 279)"
1574880647.9982326,"(1213, 244)","(705, 726)","(1579, 277)","(30, 145, 192)"
1574880650.1958318,None,"(730, 430)","(1580, 277)","(10, 89, 290)"
1574880652.201854,"(1197, 269)","(707, 716)","(1571, 284)","(106, 77, 356)"
1574880654.3996823,"(1151, 604)","(712, 718)","(1506, 235)","(129, 108, 385)"
1574880656.3979537,"(1164, 603)","(695, 719)","(1824, 283)","(46, 144, 378)"
1574880658.602885,"(1141, 613)","(699, 718)","(1826, 282)","(50, 86, 462)"
1574880660.6269202,"(1169, 599)","(707, 727)","(1825, 284)","(36, 181, 362)"
1574880662.830125,"(1148, 605)","(728, 723)","(1588, 239)","(124, 247, 331)"
1574880664.805814,None,"(742, 720)","(1823, 284)","(217, 320, 276)"
1574880666.9667766,"(1135, 601)","(777, 421)","(1825, 283)","(219, 295, 246)"
1574880668.986805,"(1201, 232)","(789, 407)","(1825, 283)","(254, 358, 154)"
1574880670.9949903,None,"(781, 426)","(1577, 279)","(178, 368, 249)"
1574880673.1897688,None,"(777, 422)","(1826, 283)","(179, 314, 227)"
1574880686.4138324,"(1193, 251)","(723, 701)","(1579, 277)","(0, 0, 0)"
1574880689.6059494,None,"(741, 402)","(1579, 278)","(75, 136, 106)"
1574880692.795542,None,"(735, 405)","(1579, 277)","(87, 62, 151)"
1574880695.8025846,"(1151, 602)","(733, 429)","(1579, 277)","(86, 32, 312)"
1574880698.7942476,"(1190, 266)","(754, 434)","(1823, 285)","(170, 111, 364)"
1574880702.0341303,None,"(784, 442)","(1825, 284)","(255, 280, 398)"
1574880705.1723714,None,"(786, 433)","(1579, 278)","(291, 273, 363)"
1574880708.391144,None,"(762, 459)","(1824, 284)","(190, 138, 534)"
1574880711.490759,"(1207, 278)","(769, 461)","(1579, 278)","(123, 281, 483)"
1574880714.6763873,"(1217, 283)","(753, 469)","(1824, 284)","(20, 250, 502)"
1574880717.8223126,"(1224, 291)","(736, 736)","(1504, 234)","(57, 415, 595)"
1574880721.006288,"(1209, 321)","(735, 728)","(1504, 234)","(113, 334, 791)"
1574880724.2514257,"(1194, 318)","(782, 497)","(1823, 285)","(199, 281, 771)"
1574880727.407365,None,"(741, 485)","(1502, 235)","(28, 92, 665)"
1574880730.630847,"(1186, 328)","(716, 718)","(1589, 239)","(147, 121, 804)"
1574880733.7895277,None,"(710, 708)","(1589, 239)","(154, 3, 733)"
1574880745.1455028,"(1195, 342)","(760, 514)","(1826, 281)","(0, 0, 0)"
1574880748.3551006,"(1131, 612)","(704, 713)","(1824, 284)","(111, 35, 116)"
1574880751.5465004,"(1150, 597)","(707, 709)","(1504, 235)","(155, 159, 216)"
1574880754.7422912,"(1151, 593)","(738, 721)","(1503, 235)","(193, 331, 227)"
1574880758.1102219,"(1151, 604)","(720, 723)","(1504, 236)","(118, 279, 116)"
1574880761.159085,"(1149, 592)","(748, 723)","(1502, 235)","(210, 447, 248)"
1574880764.3497622,"(1145, 584)","(782, 726)","(1501, 235)","(340, 581, 309)"
1574880767.3556278,None,"(803, 723)","(1501, 235)","(462, 712, 346)"
1574880770.555795,"(1186, 232)","(814, 716)","(1505, 235)","(558, 658, 236)"
1574880773.9388533,"(1165, 562)","(807, 728)","(1505, 235)","(439, 800, 204)"
1574880776.9259925,"(1157, 551)","(838, 724)","(1505, 235)","(611, 945, 66)"
1574880779.933794,"(1174, 561)","(826, 738)","(1503, 235)","(418, 976, 185)"
1574880783.1370492,"(1195, 559)","(877, 422)","(1503, 235)","(292, 1063, 87)"
1574880786.1285834,"(1195, 545)","(853, 748)","(1503, 235)","(446, 1236, 80)"
1574880789.330628,None,"(852, 732)","(1503, 235)","(587, 1067, 23)"
1574880792.650004,"(1182, 540)","(856, 737)","(1501, 235)","(556, 1215, 111)"
1574880795.7402992,None,"(837, 736)","(1502, 235)","(492, 1021, 28)"
1574880798.7355995,None,"(833, 740)","(1502, 235)","(434, 1025, 166)"
1574880801.9384694,None,"(864, 415)","(1501, 235)","(253, 1004, 51)"
1574880805.1555262,None,"(813, 755)","(1502, 235)","(225, 1038, 11)"
1574880808.137722,"(1458, 834)","(911, 411)","(1502, 235)","(392, 1227, 12)"
1574880811.465818,"(1461, 828)","(885, 439)","(1502, 235)","(249, 1156, 153)"
